date,numberOfCows,year,week,month,season,seasonIntercept,yearMinus2000,dayOfSeries,mu,y
2011-04-06,3,2011,14,4,Spring,1,11,461,49,45
2011-04-07,4,2011,14,4,Spring,1,11,462,60,60
2011-04-08,6,2011,14,4,Spring,1,11,463,90,90
2011-04-09,8,2011,14,4,Spring,1,11,464,134,152
2011-04-10,5,2011,14,4,Spring,1,11,465,74,66
2011-04-11,5,2011,15,4,Spring,1,11,466,74,57
2011-04-12,6,2011,15,4,Spring,1,11,467,90,89
2011-04-13,7,2011,15,4,Spring,1,11,468,110,114
2011-04-14,3,2011,15,4,Spring,1,11,469,49,53
2011-04-15,6,2011,15,4,Spring,1,11,470,90,92
2011-04-16,4,2011,15,4,Spring,1,11,471,60,79
2011-04-17,3,2011,15,4,Spring,1,11,472,49,55
2011-04-18,5,2011,16,4,Spring,1,11,473,74,85
2011-04-19,7,2011,16,4,Spring,1,11,474,110,107
2011-04-20,4,2011,16,4,Spring,1,11,475,60,62
2011-04-21,4,2011,16,4,Spring,1,11,476,60,61
2011-04-22,4,2011,16,4,Spring,1,11,477,60,48
2011-04-23,1,2011,16,4,Spring,1,11,478,33,37
2011-04-24,6,2011,16,4,Spring,1,11,479,90,97
2011-04-25,3,2011,17,4,Spring,1,11,480,49,48
2011-04-26,3,2011,17,4,Spring,1,11,481,49,55
2011-04-27,4,2011,17,4,Spring,1,11,482,60,61
2011-04-28,5,2011,17,4,Spring,1,11,483,74,68
2011-04-29,8,2011,17,4,Spring,1,11,484,134,105
2011-04-30,3,2011,17,4,Spring,1,11,485,49,60
2011-05-01,6,2011,17,5,Spring,1,11,486,90,88
2011-05-02,6,2011,18,5,Spring,1,11,487,90,101
2011-05-03,5,2011,18,5,Spring,1,11,488,74,66
2011-05-04,3,2011,18,5,Spring,1,11,489,49,46
2011-05-05,0,2011,18,5,Spring,1,11,490,27,30
2011-05-06,8,2011,18,5,Spring,1,11,491,134,129
2011-05-07,5,2011,18,5,Spring,1,11,492,74,69
2011-05-08,5,2011,18,5,Spring,1,11,493,74,69
2011-05-09,6,2011,19,5,Spring,1,11,494,90,89
2011-05-10,5,2011,19,5,Spring,1,11,495,74,59
2011-05-11,5,2011,19,5,Spring,1,11,496,74,81
2011-05-12,6,2011,19,5,Spring,1,11,497,90,97
2011-05-13,7,2011,19,5,Spring,1,11,498,110,91
2011-05-14,6,2011,19,5,Spring,1,11,499,90,93
2011-05-15,2,2011,19,5,Spring,1,11,500,40,48
2011-05-16,6,2011,20,5,Spring,1,11,501,90,93
2011-05-17,5,2011,20,5,Spring,1,11,502,74,76
2011-05-18,3,2011,20,5,Spring,1,11,503,49,49
2011-05-19,3,2011,20,5,Spring,1,11,504,49,57
2011-05-20,3,2011,20,5,Spring,1,11,505,49,58
2011-05-21,7,2011,20,5,Spring,1,11,506,110,118
2011-05-22,1,2011,20,5,Spring,1,11,507,33,37
2011-05-23,2,2011,21,5,Spring,1,11,508,40,39
2011-05-24,5,2011,21,5,Spring,1,11,509,74,90
2011-05-25,1,2011,21,5,Spring,1,11,510,33,34
2011-05-26,8,2011,21,5,Spring,1,11,511,134,120
2011-05-27,8,2011,21,5,Spring,1,11,512,134,132
2011-05-28,3,2011,21,5,Spring,1,11,513,49,48
2011-05-29,7,2011,21,5,Spring,1,11,514,110,116
2011-05-30,6,2011,22,5,Spring,1,11,515,90,90
2011-05-31,3,2011,22,5,Spring,1,11,516,49,43
2011-06-01,6,2011,22,6,Summer,2,11,517,245,268
2011-06-02,4,2011,22,6,Summer,2,11,518,164,163
2011-06-03,5,2011,22,6,Summer,2,11,519,200,194
2011-06-04,4,2011,22,6,Summer,2,11,520,164,154
2011-06-05,2,2011,22,6,Summer,2,11,521,110,115
2011-06-06,4,2011,23,6,Summer,2,11,522,164,166
2011-06-07,4,2011,23,6,Summer,2,11,523,164,183
2011-06-08,1,2011,23,6,Summer,2,11,524,90,90
2011-06-09,8,2011,23,6,Summer,2,11,525,365,333
2011-06-10,5,2011,23,6,Summer,2,11,526,200,218
2011-06-11,7,2011,23,6,Summer,2,11,527,299,344
2011-06-12,7,2011,23,6,Summer,2,11,528,299,309
2011-06-13,6,2011,24,6,Summer,2,11,529,245,270
2011-06-14,4,2011,24,6,Summer,2,11,530,164,176
2011-06-15,11,2011,24,6,Summer,2,11,531,665,663
2011-06-16,3,2011,24,6,Summer,2,11,532,134,153
2011-06-17,4,2011,24,6,Summer,2,11,533,164,164
2011-06-18,4,2011,24,6,Summer,2,11,534,164,174
2011-06-19,5,2011,24,6,Summer,2,11,535,200,203
2011-06-20,5,2011,25,6,Summer,2,11,536,200,192
2011-06-21,7,2011,25,6,Summer,2,11,537,299,304
2011-06-22,3,2011,25,6,Summer,2,11,538,134,116
2011-06-23,5,2011,25,6,Summer,2,11,539,200,201
2011-06-24,4,2011,25,6,Summer,2,11,540,164,171
2011-06-25,7,2011,25,6,Summer,2,11,541,299,271
2011-06-26,3,2011,25,6,Summer,2,11,542,134,143
2011-06-27,6,2011,26,6,Summer,2,11,543,245,211
2011-06-28,10,2011,26,6,Summer,2,11,544,545,536
2011-06-29,4,2011,26,6,Summer,2,11,545,164,155
2011-06-30,3,2011,26,6,Summer,2,11,546,134,129
2011-07-01,4,2011,26,7,Summer,2,11,547,164,146
2011-07-02,5,2011,26,7,Summer,2,11,548,200,201
2011-07-03,0,2011,26,7,Summer,2,11,549,74,64
2011-07-04,4,2011,27,7,Summer,2,11,550,164,152
2011-07-05,4,2011,27,7,Summer,2,11,551,164,171
2011-07-06,8,2011,27,7,Summer,2,11,552,365,371
2011-07-07,5,2011,27,7,Summer,2,11,553,200,209
2011-07-08,4,2011,27,7,Summer,2,11,554,164,163
2011-07-09,8,2011,27,7,Summer,2,11,555,365,354
2011-07-10,3,2011,27,7,Summer,2,11,556,134,133
2011-07-11,3,2011,28,7,Summer,2,11,557,134,134
2011-07-12,2,2011,28,7,Summer,2,11,558,110,108
2011-07-13,2,2011,28,7,Summer,2,11,559,110,113
2011-07-14,3,2011,28,7,Summer,2,11,560,134,157
2011-07-15,4,2011,28,7,Summer,2,11,561,164,168
2011-07-16,7,2011,28,7,Summer,2,11,562,299,342
2011-07-17,5,2011,28,7,Summer,2,11,563,200,197
2011-07-18,4,2011,29,7,Summer,2,11,564,164,159
2011-07-19,2,2011,29,7,Summer,2,11,565,110,100
2011-07-20,3,2011,29,7,Summer,2,11,566,134,133
2011-07-21,1,2011,29,7,Summer,2,11,567,90,99
2011-07-22,8,2011,29,7,Summer,2,11,568,365,363
2011-07-23,3,2011,29,7,Summer,2,11,569,134,146
2011-07-24,5,2011,29,7,Summer,2,11,570,200,172
2011-07-25,8,2011,30,7,Summer,2,11,571,365,359
2011-07-26,9,2011,30,7,Summer,2,11,572,446,408
2011-07-27,2,2011,30,7,Summer,2,11,573,110,105
2011-07-28,8,2011,30,7,Summer,2,11,574,365,346
2011-07-29,6,2011,30,7,Summer,2,11,575,245,247
2011-07-30,1,2011,30,7,Summer,2,11,576,90,110
2011-07-31,5,2011,30,7,Summer,2,11,577,200,199
2011-08-01,1,2011,31,8,Summer,2,11,578,90,83
2011-08-02,6,2011,31,8,Summer,2,11,579,245,288
2011-08-03,7,2011,31,8,Summer,2,11,580,299,278
2011-08-04,6,2011,31,8,Summer,2,11,581,245,219
2011-08-05,3,2011,31,8,Summer,2,11,582,134,128
2011-08-06,11,2011,31,8,Summer,2,11,583,665,669
2011-08-07,2,2011,31,8,Summer,2,11,584,110,96
2011-08-08,6,2011,32,8,Summer,2,11,585,245,242
2011-08-09,1,2011,32,8,Summer,2,11,586,90,74
2011-08-10,3,2011,32,8,Summer,2,11,587,134,104
2011-08-11,5,2011,32,8,Summer,2,11,588,200,182
2011-08-12,5,2011,32,8,Summer,2,11,589,200,203
2011-08-13,9,2011,32,8,Summer,2,11,590,446,444
2011-08-14,2,2011,32,8,Summer,2,11,591,110,92
2011-08-15,7,2011,33,8,Summer,2,11,592,299,298
2011-08-16,4,2011,33,8,Summer,2,11,593,164,178
2011-08-17,4,2011,33,8,Summer,2,11,594,164,151
2011-08-18,3,2011,33,8,Summer,2,11,595,134,142
2011-08-19,7,2011,33,8,Summer,2,11,596,299,303
2011-08-20,5,2011,33,8,Summer,2,11,597,200,194
2011-08-21,4,2011,33,8,Summer,2,11,598,164,158
2011-08-22,3,2011,34,8,Summer,2,11,599,134,111
2011-08-23,0,2011,34,8,Summer,2,11,600,74,76
2011-08-24,0,2011,34,8,Summer,2,11,601,74,79
2011-08-25,6,2011,34,8,Summer,2,11,602,245,227
2011-08-26,9,2011,34,8,Summer,2,11,603,446,441
2011-08-27,6,2011,34,8,Summer,2,11,604,245,237
2011-08-28,8,2011,34,8,Summer,2,11,605,365,329
2011-08-29,3,2011,35,8,Summer,2,11,606,134,153
2011-08-30,6,2011,35,8,Summer,2,11,607,245,231
2011-08-31,1,2011,35,8,Summer,2,11,608,90,76
2011-09-01,3,2011,35,9,Autumn,0,11,609,18,29
2011-09-02,3,2011,35,9,Autumn,0,11,610,18,18
2011-09-03,5,2011,35,9,Autumn,0,11,611,27,29
2011-09-04,4,2011,35,9,Autumn,0,11,612,22,21
2011-09-05,4,2011,36,9,Autumn,0,11,613,22,21
2011-09-06,8,2011,36,9,Autumn,0,11,614,49,56
2011-09-07,5,2011,36,9,Autumn,0,11,615,27,31
2011-09-08,5,2011,36,9,Autumn,0,11,616,27,24
2011-09-09,4,2011,36,9,Autumn,0,11,617,22,17
2011-09-10,5,2011,36,9,Autumn,0,11,618,27,26
2011-09-11,5,2011,36,9,Autumn,0,11,619,27,23
2011-09-12,11,2011,37,9,Autumn,0,11,620,90,93
2011-09-13,4,2011,37,9,Autumn,0,11,621,22,16
2011-09-14,6,2011,37,9,Autumn,0,11,622,33,32
2011-09-15,7,2011,37,9,Autumn,0,11,623,40,37
2011-09-16,6,2011,37,9,Autumn,0,11,624,33,37
2011-09-17,6,2011,37,9,Autumn,0,11,625,33,32
2011-09-18,3,2011,37,9,Autumn,0,11,626,18,24
2011-09-19,1,2011,38,9,Autumn,0,11,627,12,13
2011-09-20,6,2011,38,9,Autumn,0,11,628,33,31
2011-09-21,4,2011,38,9,Autumn,0,11,629,22,24
2011-09-22,4,2011,38,9,Autumn,0,11,630,22,29
2011-09-23,6,2011,38,9,Autumn,0,11,631,33,28
2011-09-24,4,2011,38,9,Autumn,0,11,632,22,11
2011-09-25,4,2011,38,9,Autumn,0,11,633,22,22
2011-09-26,3,2011,39,9,Autumn,0,11,634,18,18
2011-09-27,2,2011,39,9,Autumn,0,11,635,15,9
2011-09-28,4,2011,39,9,Autumn,0,11,636,22,27
2011-09-29,7,2011,39,9,Autumn,0,11,637,40,40
2011-09-30,3,2011,39,9,Autumn,0,11,638,18,18
2011-10-01,7,2011,39,10,Autumn,0,11,639,40,50
2011-10-02,5,2011,39,10,Autumn,0,11,640,27,24
2011-10-03,5,2011,40,10,Autumn,0,11,641,27,20
2011-10-04,1,2011,40,10,Autumn,0,11,642,12,7
2011-10-05,7,2011,40,10,Autumn,0,11,643,40,41
2011-10-06,4,2011,40,10,Autumn,0,11,644,22,24
2011-10-07,3,2011,40,10,Autumn,0,11,645,18,22
2011-10-08,9,2011,40,10,Autumn,0,11,646,60,49
2011-10-09,3,2011,40,10,Autumn,0,11,647,18,18
2011-10-10,4,2011,41,10,Autumn,0,11,648,22,16
2011-10-11,4,2011,41,10,Autumn,0,11,649,22,22
2011-10-12,6,2011,41,10,Autumn,0,11,650,33,33
2011-10-13,6,2011,41,10,Autumn,0,11,651,33,30
2011-10-14,5,2011,41,10,Autumn,0,11,652,27,25
2011-10-15,3,2011,41,10,Autumn,0,11,653,18,21
2011-10-16,2,2011,41,10,Autumn,0,11,654,15,13
2011-10-17,3,2011,42,10,Autumn,0,11,655,18,20
2011-10-18,8,2011,42,10,Autumn,0,11,656,49,42
2011-10-19,4,2011,42,10,Autumn,0,11,657,22,23
2011-10-20,3,2011,42,10,Autumn,0,11,658,18,15
2011-10-21,7,2011,42,10,Autumn,0,11,659,40,36
2011-10-22,6,2011,42,10,Autumn,0,11,660,33,29
2011-10-23,7,2011,42,10,Autumn,0,11,661,40,34
2011-10-24,8,2011,43,10,Autumn,0,11,662,49,45
2011-10-25,8,2011,43,10,Autumn,0,11,663,49,39
2011-10-26,3,2011,43,10,Autumn,0,11,664,18,19
2011-10-27,7,2011,43,10,Autumn,0,11,665,40,36
2011-10-28,5,2011,43,10,Autumn,0,11,666,27,32
2011-10-29,3,2011,43,10,Autumn,0,11,667,18,26
2011-10-30,4,2011,43,10,Autumn,0,11,668,22,24
2011-10-31,4,2011,44,10,Autumn,0,11,669,22,21
2011-11-01,4,2011,44,11,Autumn,0,11,670,22,18
2011-11-02,8,2011,44,11,Autumn,0,11,671,49,66
2011-11-03,4,2011,44,11,Autumn,0,11,672,22,24
2011-11-04,5,2011,44,11,Autumn,0,11,673,27,31
2011-11-05,6,2011,44,11,Autumn,0,11,674,33,28
2011-11-06,4,2011,44,11,Autumn,0,11,675,22,23
2011-11-07,9,2011,45,11,Autumn,0,11,676,60,45
2011-11-08,2,2011,45,11,Autumn,0,11,677,15,12
2011-11-09,7,2011,45,11,Autumn,0,11,678,40,40
2011-11-10,4,2011,45,11,Autumn,0,11,679,22,29
2011-11-11,9,2011,45,11,Autumn,0,11,680,60,59
2011-11-12,6,2011,45,11,Autumn,0,11,681,33,32
2011-11-13,9,2011,45,11,Autumn,0,11,682,60,69
2011-11-14,5,2011,46,11,Autumn,0,11,683,27,28
2011-11-15,5,2011,46,11,Autumn,0,11,684,27,24
2011-11-16,1,2011,46,11,Autumn,0,11,685,12,11
2011-11-17,3,2011,46,11,Autumn,0,11,686,18,19
2011-11-18,5,2011,46,11,Autumn,0,11,687,27,25
2011-11-19,4,2011,46,11,Autumn,0,11,688,22,29
2011-11-20,3,2011,46,11,Autumn,0,11,689,18,17
2011-11-21,7,2011,47,11,Autumn,0,11,690,40,37
2011-11-22,5,2011,47,11,Autumn,0,11,691,27,23
2011-11-23,7,2011,47,11,Autumn,0,11,692,40,41
2011-11-24,6,2011,47,11,Autumn,0,11,693,33,36
2011-11-25,5,2011,47,11,Autumn,0,11,694,27,26
2011-11-26,7,2011,47,11,Autumn,0,11,695,40,43
2011-11-27,5,2011,47,11,Autumn,0,11,696,27,32
2011-11-28,7,2011,48,11,Autumn,0,11,697,40,36
2011-11-29,2,2011,48,11,Autumn,0,11,698,15,9
2011-11-30,3,2011,48,11,Autumn,0,11,699,18,15
2011-12-01,1,2011,48,12,Winter,0,11,700,12,12
2011-12-02,3,2011,48,12,Winter,0,11,701,18,15
2011-12-03,2,2011,48,12,Winter,0,11,702,15,19
2011-12-04,6,2011,48,12,Winter,0,11,703,33,34
2011-12-05,7,2011,49,12,Winter,0,11,704,40,44
2011-12-06,6,2011,49,12,Winter,0,11,705,33,30
2011-12-07,6,2011,49,12,Winter,0,11,706,33,35
2011-12-08,5,2011,49,12,Winter,0,11,707,27,27
2011-12-09,8,2011,49,12,Winter,0,11,708,49,52
2011-12-10,6,2011,49,12,Winter,0,11,709,33,39
2011-12-11,7,2011,49,12,Winter,0,11,710,40,43
2011-12-12,4,2011,50,12,Winter,0,11,711,22,29
2011-12-13,3,2011,50,12,Winter,0,11,712,18,18
2011-12-14,5,2011,50,12,Winter,0,11,713,27,23
2011-12-15,4,2011,50,12,Winter,0,11,714,22,22
2011-12-16,7,2011,50,12,Winter,0,11,715,40,36
2011-12-17,5,2011,50,12,Winter,0,11,716,27,28
2011-12-18,7,2011,50,12,Winter,0,11,717,40,43
2011-12-19,5,2011,51,12,Winter,0,11,718,27,13
2011-12-20,4,2011,51,12,Winter,0,11,719,22,26
2011-12-21,2,2011,51,12,Winter,0,11,720,15,14
2011-12-22,7,2011,51,12,Winter,0,11,721,40,44
2011-12-23,6,2011,51,12,Winter,0,11,722,33,45
2011-12-24,7,2011,51,12,Winter,0,11,723,40,33
2011-12-25,6,2011,51,12,Winter,0,11,724,33,37
2011-12-26,2,2011,52,12,Winter,0,11,725,15,18
2011-12-27,2,2011,52,12,Winter,0,11,726,15,20
2011-12-28,4,2011,52,12,Winter,0,11,727,22,18
2011-12-29,1,2011,52,12,Winter,0,11,728,12,11
2011-12-30,2,2011,52,12,Winter,0,11,729,15,19
2011-12-31,7,2011,52,12,Winter,0,11,730,40,39
2012-01-01,5,2011,52,1,Winter,0,11,731,27,33
2012-01-02,6,2012,1,1,Winter,0,12,732,40,58
2012-01-03,1,2012,1,1,Winter,0,12,733,15,17
2012-01-04,4,2012,1,1,Winter,0,12,734,27,18
2012-01-05,5,2012,1,1,Winter,0,12,735,33,27
2012-01-06,7,2012,1,1,Winter,0,12,736,49,55
2012-01-07,6,2012,1,1,Winter,0,12,737,40,32
2012-01-08,1,2012,1,1,Winter,0,12,738,15,11
2012-01-09,3,2012,2,1,Winter,0,12,739,22,34
2012-01-10,6,2012,2,1,Winter,0,12,740,40,41
2012-01-11,7,2012,2,1,Winter,0,12,741,49,53
2012-01-12,7,2012,2,1,Winter,0,12,742,49,43
2012-01-13,4,2012,2,1,Winter,0,12,743,27,24
2012-01-14,6,2012,2,1,Winter,0,12,744,40,47
2012-01-15,8,2012,2,1,Winter,0,12,745,60,65
2012-01-16,7,2012,3,1,Winter,0,12,746,49,38
2012-01-17,3,2012,3,1,Winter,0,12,747,22,28
2012-01-18,4,2012,3,1,Winter,0,12,748,27,30
2012-01-19,10,2012,3,1,Winter,0,12,749,90,77
2012-01-20,6,2012,3,1,Winter,0,12,750,40,46
2012-01-21,2,2012,3,1,Winter,0,12,751,18,14
2012-01-22,6,2012,3,1,Winter,0,12,752,40,42
2012-01-23,6,2012,4,1,Winter,0,12,753,40,31
2012-01-24,4,2012,4,1,Winter,0,12,754,27,40
2012-01-25,2,2012,4,1,Winter,0,12,755,18,26
2012-01-26,3,2012,4,1,Winter,0,12,756,22,39
2012-01-27,5,2012,4,1,Winter,0,12,757,33,25
2012-01-28,6,2012,4,1,Winter,0,12,758,40,43
2012-01-29,5,2012,4,1,Winter,0,12,759,33,31
2012-01-30,5,2012,5,1,Winter,0,12,760,33,35
2012-01-31,11,2012,5,1,Winter,0,12,761,110,112
2012-02-01,6,2012,5,2,Winter,0,12,762,40,45
2012-02-02,8,2012,5,2,Winter,0,12,763,60,62
2012-02-03,4,2012,5,2,Winter,0,12,764,27,31
2012-02-04,6,2012,5,2,Winter,0,12,765,40,47
2012-02-05,1,2012,5,2,Winter,0,12,766,15,19
2012-02-06,6,2012,6,2,Winter,0,12,767,40,33
2012-02-07,4,2012,6,2,Winter,0,12,768,27,26
2012-02-08,3,2012,6,2,Winter,0,12,769,22,19
2012-02-09,3,2012,6,2,Winter,0,12,770,22,22
2012-02-10,2,2012,6,2,Winter,0,12,771,18,16
2012-02-11,4,2012,6,2,Winter,0,12,772,27,27
2012-02-12,5,2012,6,2,Winter,0,12,773,33,30
2012-02-13,4,2012,7,2,Winter,0,12,774,27,28
2012-02-14,2,2012,7,2,Winter,0,12,775,18,21
2012-02-15,3,2012,7,2,Winter,0,12,776,22,18
2012-02-16,2,2012,7,2,Winter,0,12,777,18,21
2012-02-17,4,2012,7,2,Winter,0,12,778,27,18
2012-02-18,3,2012,7,2,Winter,0,12,779,22,24
2012-02-19,4,2012,7,2,Winter,0,12,780,27,25
2012-02-20,5,2012,8,2,Winter,0,12,781,33,34
2012-02-21,2,2012,8,2,Winter,0,12,782,18,16
2012-02-22,5,2012,8,2,Winter,0,12,783,33,33
2012-02-23,2,2012,8,2,Winter,0,12,784,18,19
2012-02-24,8,2012,8,2,Winter,0,12,785,60,59
2012-02-25,5,2012,8,2,Winter,0,12,786,33,25
2012-02-26,2,2012,8,2,Winter,0,12,787,18,17
2012-02-27,3,2012,9,2,Winter,0,12,788,22,24
2012-02-28,5,2012,9,2,Winter,0,12,789,33,28
2012-02-29,5,2012,9,2,Winter,0,12,790,33,35
2012-03-01,3,2012,9,3,Spring,1,12,791,60,58
2012-03-02,5,2012,9,3,Spring,1,12,792,90,78
2012-03-03,3,2012,9,3,Spring,1,12,793,60,56
2012-03-04,3,2012,9,3,Spring,1,12,794,60,56
2012-03-05,4,2012,10,3,Spring,1,12,795,74,86
2012-03-06,6,2012,10,3,Spring,1,12,796,110,102
2012-03-07,5,2012,10,3,Spring,1,12,797,90,84
2012-03-08,7,2012,10,3,Spring,1,12,798,134,118
2012-03-09,4,2012,10,3,Spring,1,12,799,74,76
2012-03-10,7,2012,10,3,Spring,1,12,800,134,130
2012-03-11,2,2012,10,3,Spring,1,12,801,49,54
2012-03-12,4,2012,11,3,Spring,1,12,802,74,72
2012-03-13,6,2012,11,3,Spring,1,12,803,110,115
2012-03-14,5,2012,11,3,Spring,1,12,804,90,96
2012-03-15,4,2012,11,3,Spring,1,12,805,74,66
2012-03-16,7,2012,11,3,Spring,1,12,806,134,143
2012-03-17,7,2012,11,3,Spring,1,12,807,134,142
2012-03-18,6,2012,11,3,Spring,1,12,808,110,104
2012-03-19,3,2012,12,3,Spring,1,12,809,60,54
2012-03-20,2,2012,12,3,Spring,1,12,810,49,45
2012-03-21,1,2012,12,3,Spring,1,12,811,40,43
2012-03-22,6,2012,12,3,Spring,1,12,812,110,103
2012-03-23,7,2012,12,3,Spring,1,12,813,134,124
2012-03-24,8,2012,12,3,Spring,1,12,814,164,148
2012-03-25,8,2012,12,3,Spring,1,12,815,164,134
2012-03-26,6,2012,13,3,Spring,1,12,816,110,121
2012-03-27,7,2012,13,3,Spring,1,12,817,134,153
2012-03-28,5,2012,13,3,Spring,1,12,818,90,91
2012-03-29,9,2012,13,3,Spring,1,12,819,200,196
2012-03-30,1,2012,13,3,Spring,1,12,820,40,34
2012-03-31,6,2012,13,3,Spring,1,12,821,110,106
2012-04-01,3,2012,13,4,Spring,1,12,822,60,69
2012-04-02,4,2012,14,4,Spring,1,12,823,74,73
2012-04-03,4,2012,14,4,Spring,1,12,824,74,64
2012-04-04,4,2012,14,4,Spring,1,12,825,74,61
2012-04-05,3,2012,14,4,Spring,1,12,826,60,64
2012-04-06,5,2012,14,4,Spring,1,12,827,90,88
2012-04-07,5,2012,14,4,Spring,1,12,828,90,100
2012-04-08,5,2012,14,4,Spring,1,12,829,90,83
2012-04-09,3,2012,15,4,Spring,1,12,830,60,68
2012-04-10,4,2012,15,4,Spring,1,12,831,74,78
2012-04-11,5,2012,15,4,Spring,1,12,832,90,94
2012-04-12,5,2012,15,4,Spring,1,12,833,90,90
2012-04-13,4,2012,15,4,Spring,1,12,834,74,77
2012-04-14,7,2012,15,4,Spring,1,12,835,134,139
2012-04-15,5,2012,15,4,Spring,1,12,836,90,87
2012-04-16,4,2012,16,4,Spring,1,12,837,74,74
2012-04-17,7,2012,16,4,Spring,1,12,838,134,128
2012-04-18,5,2012,16,4,Spring,1,12,839,90,101
2012-04-19,9,2012,16,4,Spring,1,12,840,200,205
2012-04-20,4,2012,16,4,Spring,1,12,841,74,74
2012-04-21,6,2012,16,4,Spring,1,12,842,110,102
2012-04-22,2,2012,16,4,Spring,1,12,843,49,47
2012-04-23,6,2012,17,4,Spring,1,12,844,110,98
2012-04-24,5,2012,17,4,Spring,1,12,845,90,83
2012-04-25,7,2012,17,4,Spring,1,12,846,134,135
2012-04-26,5,2012,17,4,Spring,1,12,847,90,99
2012-04-27,1,2012,17,4,Spring,1,12,848,40,34
2012-04-28,4,2012,17,4,Spring,1,12,849,74,67
2012-04-29,3,2012,17,4,Spring,1,12,850,60,58
2012-04-30,4,2012,18,4,Spring,1,12,851,74,67
2012-05-01,3,2012,18,5,Spring,1,12,852,60,54
2012-05-02,5,2012,18,5,Spring,1,12,853,90,102
2012-05-03,8,2012,18,5,Spring,1,12,854,164,149
2012-05-04,1,2012,18,5,Spring,1,12,855,40,34
2012-05-05,5,2012,18,5,Spring,1,12,856,90,107
2012-05-06,5,2012,18,5,Spring,1,12,857,90,75
2012-05-07,4,2012,19,5,Spring,1,12,858,74,89
2012-05-08,6,2012,19,5,Spring,1,12,859,110,101
2012-05-09,4,2012,19,5,Spring,1,12,860,74,63
2012-05-10,8,2012,19,5,Spring,1,12,861,164,171
2012-05-11,1,2012,19,5,Spring,1,12,862,40,42
2012-05-12,13,2012,19,5,Spring,1,12,863,446,466
2012-05-13,3,2012,19,5,Spring,1,12,864,60,47
2012-05-14,1,2012,20,5,Spring,1,12,865,40,32
2012-05-15,6,2012,20,5,Spring,1,12,866,110,99
2012-05-16,2,2012,20,5,Spring,1,12,867,49,57
2012-05-17,7,2012,20,5,Spring,1,12,868,134,130
2012-05-18,11,2012,20,5,Spring,1,12,869,299,325
2012-05-19,8,2012,20,5,Spring,1,12,870,164,168
2012-05-20,5,2012,20,5,Spring,1,12,871,90,89
2012-05-21,7,2012,21,5,Spring,1,12,872,134,140
2012-05-22,7,2012,21,5,Spring,1,12,873,134,120
2012-05-23,5,2012,21,5,Spring,1,12,874,90,107
2012-05-24,6,2012,21,5,Spring,1,12,875,110,127
2012-05-25,5,2012,21,5,Spring,1,12,876,90,98
2012-05-26,3,2012,21,5,Spring,1,12,877,60,69
2012-05-27,6,2012,21,5,Spring,1,12,878,110,110
2012-05-28,6,2012,22,5,Spring,1,12,879,110,105
2012-05-29,3,2012,22,5,Spring,1,12,880,60,67
2012-05-30,3,2012,22,5,Spring,1,12,881,60,66
2012-05-31,4,2012,22,5,Spring,1,12,882,74,76
2012-06-01,8,2012,22,6,Summer,2,12,883,446,410
2012-06-02,8,2012,22,6,Summer,2,12,884,446,475
2012-06-03,9,2012,22,6,Summer,2,12,885,545,500
2012-06-04,3,2012,23,6,Summer,2,12,886,164,160
2012-06-05,6,2012,23,6,Summer,2,12,887,299,314
2012-06-06,3,2012,23,6,Summer,2,12,888,164,187
2012-06-07,9,2012,23,6,Summer,2,12,889,545,549
2012-06-08,7,2012,23,6,Summer,2,12,890,365,364
2012-06-09,9,2012,23,6,Summer,2,12,891,545,569
2012-06-10,6,2012,23,6,Summer,2,12,892,299,295
2012-06-11,5,2012,24,6,Summer,2,12,893,245,259
2012-06-12,4,2012,24,6,Summer,2,12,894,200,211
2012-06-13,4,2012,24,6,Summer,2,12,895,200,165
2012-06-14,2,2012,24,6,Summer,2,12,896,134,140
2012-06-15,2,2012,24,6,Summer,2,12,897,134,141
2012-06-16,6,2012,24,6,Summer,2,12,898,299,289
2012-06-17,5,2012,24,6,Summer,2,12,899,245,253
2012-06-18,2,2012,25,6,Summer,2,12,900,134,139
2012-06-19,3,2012,25,6,Summer,2,12,901,164,185
2012-06-20,4,2012,25,6,Summer,2,12,902,200,184
2012-06-21,5,2012,25,6,Summer,2,12,903,245,236
2012-06-22,3,2012,25,6,Summer,2,12,904,164,147
2012-06-23,3,2012,25,6,Summer,2,12,905,164,175
2012-06-24,7,2012,25,6,Summer,2,12,906,365,405
2012-06-25,7,2012,26,6,Summer,2,12,907,365,360
2012-06-26,6,2012,26,6,Summer,2,12,908,299,280
2012-06-27,8,2012,26,6,Summer,2,12,909,446,399
2012-06-28,4,2012,26,6,Summer,2,12,910,200,189
2012-06-29,0,2012,26,6,Summer,2,12,911,90,76
2012-06-30,4,2012,26,6,Summer,2,12,912,200,189
2012-07-01,3,2012,26,7,Summer,2,12,913,164,150
2012-07-02,8,2012,27,7,Summer,2,12,914,446,473
2012-07-03,6,2012,27,7,Summer,2,12,915,299,323
2012-07-04,4,2012,27,7,Summer,2,12,916,200,220
2012-07-05,3,2012,27,7,Summer,2,12,917,164,173
2012-07-06,4,2012,27,7,Summer,2,12,918,200,204
2012-07-07,4,2012,27,7,Summer,2,12,919,200,205
2012-07-08,3,2012,27,7,Summer,2,12,920,164,168
2012-07-09,5,2012,28,7,Summer,2,12,921,245,236
2012-07-10,6,2012,28,7,Summer,2,12,922,299,303
